Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
7/21/2016,2016,7,21,Thursday,29,2016-29,10.72,10.72,10.72,10.72,0,9.66,0,9.632142857,9.5352
7/22/2016,2016,7,22,Friday,29,2016-29,10.74,10.74,10.74,10.74,0,9.67,0.001865644,9.638571429,9.5392
7/25/2016,2016,7,25,Monday,30,2016-30,10.73,10.73,10.73,10.73,0,9.67,-0.000931036,9.645714286,9.5438
7/26/2016,2016,7,26,Tuesday,30,2016-30,10.73,10.73,10.73,10.73,0,9.67,0,9.652142857,9.5484
7/27/2016,2016,7,27,Wednesday,30,2016-30,10.73,10.73,10.73,10.73,0,9.67,0,9.657857143,9.5524
7/28/2016,2016,7,28,Thursday,30,2016-30,10.74,10.74,10.74,10.74,0,9.67,0.000931903,9.660714286,9.5568
7/29/2016,2016,7,29,Friday,30,2016-30,10.75,10.75,10.75,10.75,0,9.68,0.000931134,9.663571429,9.5616
8/1/2016,2016,8,1,Monday,31,2016-31,10.74,10.74,10.74,10.74,0,9.67,-0.000930268,9.663571429,9.5666
8/2/2016,2016,8,2,Tuesday,31,2016-31,10.71,10.71,10.71,10.71,0,9.65,-0.002793206,9.662857143,9.5708
8/3/2016,2016,8,3,Wednesday,31,2016-31,10.71,10.71,10.71,10.71,0,9.65,0,9.662142857,9.575
8/4/2016,2016,8,4,Thursday,31,2016-31,10.74,10.74,10.74,10.74,0,9.67,0.00280103,9.663571429,9.579
8/5/2016,2016,8,5,Friday,31,2016-31,10.75,10.75,10.75,10.75,0,9.68,0.000931134,9.665,9.5828
8/8/2016,2016,8,8,Monday,32,2016-32,10.74,10.74,10.74,10.74,0,9.67,-0.000930268,9.667142857,9.5864
8/9/2016,2016,8,9,Tuesday,32,2016-32,10.76,10.76,10.76,10.76,0,9.69,0.001862367,9.669285714,9.5902
8/10/2016,2016,8,10,Wednesday,32,2016-32,10.76,10.76,10.76,10.76,0,9.69,0,9.671428571,9.594
8/11/2016,2016,8,11,Thursday,32,2016-32,10.78,10.78,10.78,10.78,0,9.71,0.00185861,9.674285714,9.598
8/12/2016,2016,8,12,Friday,32,2016-32,10.78,10.78,10.78,10.78,0,9.71,0,9.677142857,9.6016
8/15/2016,2016,8,15,Monday,33,2016-33,10.79,10.79,10.79,10.79,0,9.72,0.000927581,9.680714286,9.6052
8/16/2016,2016,8,16,Tuesday,33,2016-33,10.77,10.77,10.77,10.77,0,9.7,-0.001853541,9.682857143,9.6082
8/17/2016,2016,8,17,Wednesday,33,2016-33,10.76,10.76,10.76,10.76,0,9.69,-0.000928344,9.684285714,9.6108
8/18/2016,2016,8,18,Thursday,33,2016-33,10.77,10.77,10.77,10.77,0,9.7,0.000929207,9.685714286,9.6132
8/19/2016,2016,8,19,Friday,33,2016-33,10.76,10.76,10.76,10.76,0,9.69,-0.000928344,9.687142857,9.6158
8/22/2016,2016,8,22,Monday,34,2016-34,10.78,10.78,10.78,10.78,0,9.71,0.00185861,9.691428571,9.6194
8/23/2016,2016,8,23,Tuesday,34,2016-34,10.8,10.8,10.8,10.8,0,9.73,0.001855162,9.697142857,9.6238
8/24/2016,2016,8,24,Wednesday,34,2016-34,10.77,10.77,10.77,10.77,0,9.7,-0.002777688,9.699285714,9.6278
8/25/2016,2016,8,25,Thursday,34,2016-34,10.77,10.77,10.77,10.77,0,9.7,0,9.700714286,9.6318
8/26/2016,2016,8,26,Friday,34,2016-34,10.77,10.77,10.77,10.77,0,9.7,0,9.702857143,9.6358
8/29/2016,2016,8,29,Monday,35,2016-35,10.78,10.78,10.78,10.78,0,9.71,0.000928541,9.704285714,9.64
8/30/2016,2016,8,30,Tuesday,35,2016-35,10.78,10.78,10.78,10.78,0,9.71,0,9.705714286,9.6436
8/31/2016,2016,8,31,Wednesday,35,2016-35,10.77,10.77,10.77,10.77,0,9.7,-0.000927679,9.705,9.6472
9/1/2016,2016,9,1,Thursday,35,2016-35,10.79,10.79,10.79,10.79,0,9.72,0.001856983,9.705714286,9.6514
9/2/2016,2016,9,2,Friday,35,2016-35,10.8,10.8,10.8,10.8,0,9.73,0.000926721,9.706428571,9.6552
9/6/2016,2016,9,6,Tuesday,36,2016-36,10.81,10.81,10.81,10.81,0,9.74,0.000926157,9.709285714,9.6602
9/7/2016,2016,9,7,Wednesday,36,2016-36,10.82,10.82,10.82,10.82,0,9.75,0.000925105,9.713571429,9.6666
9/8/2016,2016,9,8,Thursday,36,2016-36,10.82,10.82,10.82,10.82,0,9.75,0,9.717142857,9.6722
9/9/2016,2016,9,9,Friday,36,2016-36,10.75,10.75,10.75,10.75,0,9.68,-0.006469649,9.716428571,9.6752
9/12/2016,2016,9,12,Monday,37,2016-37,10.76,10.76,10.76,10.76,0,9.69,0.000930367,9.715,9.6778
9/13/2016,2016,9,13,Tuesday,37,2016-37,10.73,10.73,10.73,10.73,0,9.67,-0.00278821,9.710714286,9.6796
9/14/2016,2016,9,14,Wednesday,37,2016-37,10.74,10.74,10.74,10.74,0,9.67,0.000931903,9.708571429,9.6816
9/15/2016,2016,9,15,Thursday,37,2016-37,10.75,10.75,10.75,10.75,0,9.68,0.000931134,9.707142857,9.6836
9/16/2016,2016,9,16,Friday,37,2016-37,10.76,10.76,10.76,10.76,0,9.69,0.000930367,9.706428571,9.6856
9/19/2016,2016,9,19,Monday,38,2016-38,10.77,10.77,10.77,10.77,0,9.7,0.000929207,9.705714286,9.687
9/20/2016,2016,9,20,Tuesday,38,2016-38,10.78,10.78,10.78,10.78,0,9.71,0.000928541,9.705714286,9.6884
9/21/2016,2016,9,21,Wednesday,38,2016-38,10.81,10.81,10.81,10.81,0,9.74,0.002783038,9.708571429,9.6898
9/22/2016,2016,9,22,Thursday,38,2016-38,10.84,10.84,10.84,10.84,0,9.76,0.002775118,9.711428571,9.6918
9/23/2016,2016,9,23,Friday,38,2016-38,10.84,10.84,10.84,10.84,0,9.76,0,9.713571429,9.6938
9/26/2016,2016,9,26,Monday,39,2016-39,10.83,10.83,10.83,10.83,0,9.76,-0.000922447,9.715,9.696
9/27/2016,2016,9,27,Tuesday,39,2016-39,10.83,10.83,10.83,10.83,0,9.76,0,9.715714286,9.698
9/28/2016,2016,9,28,Wednesday,39,2016-39,10.84,10.84,10.84,10.84,0,9.76,0.000923298,9.716428571,9.7004
9/29/2016,2016,9,29,Thursday,39,2016-39,10.82,10.82,10.82,10.82,0,9.75,-0.001844894,9.721428571,9.7022
9/30/2016,2016,9,30,Friday,39,2016-39,10.83,10.83,10.83,10.83,0,9.76,0.000924152,9.726428571,9.7042
10/3/2016,2016,10,3,Monday,40,2016-40,10.83,10.83,10.83,10.83,0,9.76,0,9.732857143,9.706
10/4/2016,2016,10,4,Tuesday,40,2016-40,10.82,10.82,10.82,10.82,0,9.75,-0.000923298,9.738571429,9.7076
10/5/2016,2016,10,5,Wednesday,40,2016-40,10.83,10.83,10.83,10.83,0,9.76,0.000924152,9.744285714,9.7094
10/6/2016,2016,10,6,Thursday,40,2016-40,10.82,10.82,10.82,10.82,0,9.75,-0.000923298,9.748571429,9.711
10/7/2016,2016,10,7,Friday,40,2016-40,10.81,10.81,10.81,10.81,0,9.74,-0.00092425,9.751428571,9.7124
10/10/2016,2016,10,10,Monday,41,2016-41,10.81,10.81,10.81,10.81,0,9.74,0,9.753571429,9.7136
10/11/2016,2016,10,11,Tuesday,41,2016-41,10.78,10.78,10.78,10.78,0,9.71,-0.002775314,9.751428571,9.7144
10/12/2016,2016,10,12,Wednesday,41,2016-41,10.76,10.76,10.76,10.76,0,9.69,-0.001855162,9.746428571,9.7152
10/13/2016,2016,10,13,Thursday,41,2016-41,10.74,10.74,10.74,10.74,0,9.67,-0.001858905,9.74,9.7156
10/14/2016,2016,10,14,Friday,41,2016-41,10.73,10.73,10.73,10.73,0,9.67,-0.000931036,9.733571429,9.7156
10/17/2016,2016,10,17,Monday,42,2016-42,10.72,10.72,10.72,10.72,0,9.66,-0.000932002,9.726428571,9.7152
10/18/2016,2016,10,18,Tuesday,42,2016-42,10.75,10.75,10.75,10.75,0,9.68,0.002798516,9.720714286,9.7154
10/19/2016,2016,10,19,Wednesday,42,2016-42,10.77,10.77,10.77,10.77,0,9.7,0.001860438,9.717142857,9.7156
10/20/2016,2016,10,20,Thursday,42,2016-42,10.77,10.77,10.77,10.77,0,9.7,0,9.712857143,9.7158
10/21/2016,2016,10,21,Friday,42,2016-42,10.77,10.77,10.77,10.77,0,9.7,0,9.708571429,9.7156
10/24/2016,2016,10,24,Monday,43,2016-43,10.77,10.77,10.77,10.77,0,9.7,0,9.705,9.7154
10/25/2016,2016,10,25,Tuesday,43,2016-43,10.76,10.76,10.76,10.76,0,9.69,-0.000928344,9.7,9.7148
10/26/2016,2016,10,26,Wednesday,43,2016-43,10.74,10.74,10.74,10.74,0,9.67,-0.001858905,9.694285714,9.7142
10/27/2016,2016,10,27,Thursday,43,2016-43,10.72,10.72,10.72,10.72,0,9.66,-0.00186217,9.688571429,9.7136
10/28/2016,2016,10,28,Friday,43,2016-43,10.71,10.71,10.71,10.71,0,9.65,-0.000932773,9.682142857,9.7126
10/31/2016,2016,10,31,Monday,44,2016-44,10.7,10.7,10.7,10.7,0,9.64,-0.000933742,9.677142857,9.7116
11/1/2016,2016,11,1,Tuesday,44,2016-44,10.69,10.69,10.69,10.69,0,9.63,-0.000934714,9.672857143,9.71
11/2/2016,2016,11,2,Wednesday,44,2016-44,10.65,10.65,10.65,10.65,0,9.59,-0.003741661,9.667142857,9.7072
